"","Token","n"
"4159","acomodar",99
"4160","benítez",99
"4161","buscado",99
"4162","busque",99
"4163","capacitar",99
"4164","cargado",99
"4165","comparecido",99
"4166","comprometo",99
"4167","crm",99
"4168","designación",99
"4169","dábar",99
"4170","ejemplo",99
"4171","enfocar",99
"4172","forzoso",99
"4173","héctor",99
"4174","jovana",99
"4175","mear",99
"4176","mico",99
"4177","montaño",99
"4178","mulc",99
"4179","núcleo",99
"4180","ordenaban",99
"4181","patón",99
"4182","rancho",99
"4183","rasgos",99
"4184","retomer",99
"4185","revés",99
"4186","sacarar",99
"4187","saque",99
"4188","sácama",99
"4189","temporal",99
"4190","toma",99
"4191","uramita",99
"4192","violar",99
"4193","á",99
"4194","actualidad",98
"4195","chavarrir",98
"4196","demanda",98
"4197","fondetec",98
"4198","fresco",98
"4199","gallina",98
"4200","gaseoso",98
"4201","imprecisión",98
"4202","inhumado",98
"4203","lastimosamente",98
"4204","magistrar",98
"4205","matarlos",98
"4206","movernos",98
"4207","muestra",98
"4208","nombrar-",98
"4209","original",98
"4210","reparadora",98
"4211","resorte",98
"4212","respetado",98
"4213","ír",98
"4214","afirmativo",97
"4215","cerrazón",97
"4216","cilindro",97
"4217","clima",97
"4218","constitucionalidad",97
"4219","contratar",97
"4220","contrato",97
"4221","círculo",97
"4222","dig",97
"4223","documentado",97
"4224","funjo",97
"4225","investigativa",97
"4226","link",97
"4227","lombano",97
"4228","misica",97
"4229","occidente",97
"4230","oo",97
"4231","partecita",97
"4232","peque",97
"4233","pollo",97
"4234","probar",97
"4235","rendirla",97
"4236","respaldo",97
"4237","reto",97
"4238","rubén",97
"4239","tinto",97
"4240","varón",97
"4241","velar",97
"4242","aladino",96
"4243","ap",96
"4244","asesinarlo",96
"4245","calda",96
"4246","cantón",96
"4247","cobarder",96
"4248","comp",96
"4249","compartimentación",96
"4250","doctrinal",96
"4251","embarazado",96
"4252","emboscar",96
"4253","enmarcar",96
"4254","esty",96
"4255","extensivo",96
"4256","frontera",96
"4257","haciéndole",96
"4258","hipótesis",96
"4259","hágalo",96
"4260","incautar",96
"4261","infracción",96
"4262","macha",96
"4263","metar",96
"4264","muchísir",96
"4265","nicolás",96
"4266","orgullo",96
"4267","pegar-",96
"4268","recogimo",96
"4269","señoro",96
"4270","suscrita",96
"4271","triunfo",96
"4272","vaquero",96
"4273","verido",96
"4274","vincularse",96
"4275","ahondar",95
"4276","aparato",95
"4277","borracho",95
"4278","caqueta",95
"4279","cazador",95
"4280","comuniqué",95
"4281","continuo",95
"4282","cuchillo",95
"4283","definitivo",95
"4284","devolvimo",95
"4285","ejerciar",95
"4286","embalar",95
"4287","envíe",95
"4288","equitativo",95
"4289","especializar",95
"4290","extremo",95
"4291","fulanito",95
"4292","hr",95
"4293","lafar",95
"4294","medir",95
"4295","mel",95
"4296","preferente",95
"4297","priorización",95
"4298","refrescar",95
"4299","reiniciar",95
"4300","sentarse",95
"4301","tejido",95
"4302","tomara",95
"4303","tumbar",95
"4304","índole",95
"4305","adversarial",94
"4306","au",94
"4307","bañar",94
"4308","calvo",94
"4309","cama",94
"4310","cancelar",94
"4311","capturarlo",94
"4312","complementaria",94
"4313","comprr",94
"4314","contarnos",94
"4315","corral",94
"4316","cultura",94
"4317","desempeñado",94
"4318","dond",94
"4319","gracia",94
"4320","histórica",94
"4321","macía",94
"4322","marihuana",94
"4323","papás",94
"4324","presidencial",94
"4325","rubro",94
"4326","salgado",94
"4327","sebastián",94
"4328","significado",94
"4329","suscripción",94
"4330","team",94
"4331","vocación",94
"4332","vítima",94
"4333","acercarse",93
"4334","actuado",93
"4335","aer",93
"4336","algun",93
"4337","animal",93
"4338","bienvenido",93
"4339","cambié",93
"4340","capacitado",93
"4341","capítulo",93
"4342","comandado",93
"4343","comparativo",93
"4344","compuesto",93
"4345","dabeir",93
"4346","dem",93
"4347","dificultar",93
"4348","documentar",93
"4349","entregue",93
"4350","escaso",93
"4351","figueroa",93
"4352","fragmentaria",93
"4353","ia",93
"4354","interesante",93
"4355","oración",93
"4356","otr",93
"4357","panche",93
"4358","patrull",93
"4359","pertenecí",93
"4360","precisa",93
"4361","quema",93
"4362","ramirar",93
"4363","ratico",93
"4364","recurrente",93
"4365","reemplazante",93
"4366","regularmente",93
"4367","retuver",93
"4368","rocío",93
"4369","silla",93
"4370","suicial",93
"4371","tar",93
"4372","án",93
"4373","aceptado",92
"4374","adelantaban",92
"4375","alistamiento",92
"4376","atracador",92
"4377","chispa",92
"4378","dañar",92
"4379","desintegrar",92
"4380","distribuido",92
"4381","década",92
"4382","enfermera",92
"4383","falda",92
"4384","gerardo",92
"4385","imputado",92
"4386","mecánico",92
"4387","ospinar",92
"4388","pel",92
"4389","referirse",92
"4390","repetitivo",92
"4391","reuní",92
"4392","subido",92
"4393","tesalia",92
"4394","tomarse",92
"4395","veracidad",92
"4396","verídicar",92
"4397","viejito",92
"4398","ampliamente",91
"4399","beneficiar",91
"4400","coautor",91
"4401","cocaína",91
"4402","contestado",91
"4403","cornel",91
"4404","dej",91
"4405","duraban",91
"4406","escándalo",91
"4407","grandísimo",91
"4408","helicop",91
"4409","hombro",91
"4410","humberto",91
"4411","manar",91
"4412","mostrarle",91
"4413","paya",91
"4414","prevenir",91
"4415","prim",91
"4416","razonable",91
"4417","recibíar",91
"4418","rocha",91
"4419","rodolfo",91
"4420","seg",91
"4421","simétrico",91
"4422","trar",91
"4423","yoo",91
"4424","afrocolombiano",90
"4425","apartad",90
"4426","caña",90
"4427","comportar",90
"4428","concurso",90
"4429","cuya",90
"4430","diofanor",90
"4431","energético",90
"4432","enseñado",90
"4433","equilibrado",90
"4434","estaríar",90
"4435","eventualidad",90
"4436","falencia",90
"4437","infiltrar",90
"4438","levis",90
"4439","llamamiento",90
"4440","mgl",90
"4441","noa",90
"4442","oportuna",90
"4443","ordenador",90
"4444","prisión",90
"4445","procedencia",90
"4446","puntear",90
"4447","tarache",90
"4448","textualmente",90
"4449","transcribir",90
"4450","venta",90
"4451","afrontar",89
"4452","aguaazul",89
"4453","allegado",89
"4454","antiextorsión",89
"4455","arley",89
"4456","asumar",89
"4457","claudiar",89
"4458","concepción",89
"4459","emocional",89
"4460","encaminado",89
"4461","explosión",89
"4462","extenso",89
"4463","fa",89
"4464","fuer",89
"4465","institucionalidad",89
"4466","intervino",89
"4467","llevarle",89
"4468","madera",89
"4469","manteco",89
"4470","mirado",89
"4471","misa",89
"4472","ob",89
"4473","pigo",89
"4474","primario",89
"4475","profesión",89
"4476","recabar",89
"4477","recuero",89
"4478","ruego",89
"4479","sacerdote",89
"4480","tatiano",89
"4481","toc",89
"4482","transcurrido",89
"4483","abrigar",88
"4484","acontecimiento",88
"4485","agradecerle",88
"4486","ajena",88
"4487","alveiro",88
"4488","botiquín",88
"4489","carbajal",88
"4490","ep",88
"4491","escolta",88
"4492","estrella",88
"4493","estáar",88
"4494","exitoso",88
"4495","fera",88
"4496","fotocopia",88
"4497","fundado",88
"4498","inculcar",88
"4499","informal",88
"4500","jar",88
"4501","miller",88
"4502","paola",88
"4503","piñal",88
"4504","pólvora",88
"4505","radicar",88
"4506","rigor",88
"4507","sano",88
"4508","vergar",88
"4509","banana",87
"4510","boleta",87
"4511","cobro",87
"4512","cojo",87
"4513","cometir",87
"4514","continua",87
"4515","contrer",87
"4516","croquis",87
"4517","desayuno",87
"4518","enfático",87
"4519","evaluador",87
"4520","flagrancia",87
"4521","gravísimo",87
"4522","inferior",87
"4523","jaramillo",87
"4524","llver",87
"4525","meto",87
"4526","máquina",87
"4527","operandi",87
"4528","pasillo",87
"4529","pasta",87
"4530","rama",87
"4531","recorrer",87
"4532","redactar",87
"4533","rodear",87
"4534","rumbo",87
"4535","tablón",87
"4536","traiga",87
"4537","valía",87
"4538","álbum",87
"4539","abr",86
"4540","acordonar",86
"4541","actúo",86
"4542","anual",86
"4543","aperturar",86
"4544","arroz",86
"4545","bautista",86
"4546","calco",86
"4547","colación",86
"4548","destinación",86
"4549","distintivo",86
"4550","dor",86
"4551","estimir",86
"4552","estudiado",86
"4553","extraordinario",86
"4554","falsamente",86
"4555","galvis",86
"4556","ida",86
"4557","incluida",86
"4558","incorporado",86
"4559","interferencia",86
"4560","interrumpa",86
"4561","liberación",86
"4562","mutata",86
"4563","occidental",86
"4564","paciencia",86
"4565","pasto",86
"4566","postular",86
"4567","precerer",86
"4568","prendido",86
"4569","recogí",86
"4570","roldán",86
"4571","sinai",86
"4572","transparente",86
"4573","vinir",86
"4574","abatido",85
"4575","aco",85
"4576","administrador",85
"4577","arpón",85
"4578","bajara",85
"4579","cabina",85
"4580","coloco",85
"4581","cumplo",85
"4582","desconocido",85
"4583","difusión",85
"4584","edición",85
"4585","enfocado",85
"4586","evaluado",85
"4587","generalidad",85
"4588","independencia",85
"4589","kennedy",85
"4590","lanzado",85
"4591","magistro",85
"4592","mate",85
"4593","montón",85
"4594","oliva",85
"4595","pauta",85
"4596","pernot",85
"4597","pisa",85
"4598","planilla",85
"4599","protegir",85
"4600","trazabilidad",85
"4601","victoria",85
"4602","andábar",84
"4603","apreciar",84
"4604","busto",84
"4605","cocinar",84
"4606","comprobar",84
"4607","comunal",84
"4608","consistente",84
"4609","contextualizar",84
"4610","cotidiano",84
"4611","cuo",84
"4612","daar",84
"4613","dougla",84
"4614","ejecutada",84
"4615","encia",84
"4616","escasamente",84
"4617","espejo",84
"4618","estatura",84
"4619","examen",84
"4620","excelencia",84
"4621","guzmá",84
"4622","hablir",84
"4623","insignia",84
"4624","insistencia",84
"4625","inter",84
"4626","lea",84
"4627","modus",84
"4628","negociar",84
"4629","oscuridad",84
"4630","padilla",84
"4631","pareja",84
"4632","pequeñito",84
"4633","periodista",84
"4634","pig",84
"4635","pinar",84
"4636","piña",84
"4637","prestir",84
"4638","quemado",84
"4639","raúl",84
"4640","rescatar",84
"4641","restaurar",84
"4642","retorno",84
"4643","sanare",84
"4644","sirver",84
"4645","spc",84
"4646","tení",84
"4647","texto",84
"4648","toque",84
"4649","toyota",84
"4650","unaa",84
"4651","asesinarar",83
"4652","basura",83
"4653","bón",83
"4654","cabrera",83
"4655","categoría",83
"4656","cielo",83
"4657","cipriano",83
"4658","cúcuta",83
"4659","defendido",83
"4660","detective",83
"4661","efraín",83
"4662","enar",83
"4663","fuga",83
"4664","fundador",83
"4665","gr",83
"4666","grueso",83
"4667","herramientar",83
"4668","incursión",83
"4669","joh",83
"4670","negado",83
"4671","normativo",83
"4672","orgulloso",83
"4673","orgánica",83
"4674","pesar",83
"4675","pm",83
"4676","por",83
"4677","presentár",83
"4678","prohibido",83
"4679","pronunciamiento",83
"4680","pue",83
"4681","regir",83
"4682","reparador",83
"4683","reportarlo",83
"4684","sacarlos",83
"4685","sintir",83
"4686","abuela",82
"4687","al",82
"4688","andrade",82
"4689","antelación",82
"4690","argumentar",82
"4691","asesin",82
"4692","atravesar",82
"4693","ausentar",82
"4694","banderar",82
"4695","cantar",82
"4696","chica",82
"4697","complejidad",82
"4698","cortesía",82
"4699","dañr",82
"4700","debate",82
"4701","decomiso",82
"4702","desarrolle",82
"4703","descender",82
"4704","discuter",82
"4705","elía",82
"4706","enn",82
"4707","escritorio",82
"4708","expuesta",82
"4709","feo",82
"4710","forjar",82
"4711","girardot",82
"4712","incentivar",82
"4713","jamir",82
"4714","labranza",82
"4715","leyes",82
"4716","macrocriminalidad",82
"4717","mimico",82
"4718","miso",82
"4719","murcia",82
"4720","paula",82
"4721","pisr",82
"4722","poblado",82
"4723","preguntándo",82
"4724","procurar",82
"4725","propiciar",82
"4726","relate",82
"4727","reverer",82
"4728","supierar",82
"4729","tecnología",82
"4730","verse",82
"4731","aclarecer",81
"4732","anotado",81
"4733","competer",81
"4734","cupiagua",81
"4735","denuncer",81
"4736","despertar",81
"4737","enfermar",81
"4738","enseñr",81
"4739","estener",81
"4740","fer",81
"4741","formulado",81
"4742","hacerme",81
"4743","mecanizado",81
"4744","mic",81
"4745","ministerial",81
"4746","nad",81
"4747","nervio",81
"4748","nexo",81
"4749","ok",81
"4750","otorgamiento",81
"4751","palechor",81
"4752","planeada",81
"4753","pongar",81
"4754","pro",81
"4755","proveniente",81
"4756","páramo",81
"4757","recogerlo",81
"4758","refer",81
"4759","regaño",81
"4760","reportarse",81
"4761","rubiel",81
"4762","salvaguardar",81
"4763","santiago",81
"4764","sapo",81
"4765","señalada",81
"4766","simultáneamente",81
"4767","suba",81
"4768","subc",81
"4769","sumamente",81
"4770","transformar",81
"4771","trater",81
"4772","verbalmente",81
"4773","volumen",81
"4774","artiagar",80
"4775","avenida",80
"4776","basa",80
"4777","búfalo",80
"4778","cabaña",80
"4779","conita",80
"4780","consanguineidad",80
"4781","cuentir",80
"4782","declaro",80
"4783","deuda",80
"4784","enterar-",80
"4785","entregada",80
"4786","establecimiento",80
"4787","identificar-",80
"4788","mande",80
"4789","marí",80
"4790","miel",80
"4791","peloto",80
"4792","playón",80
"4793","pongámosle",80
"4794","prever",80
"4795","profundamente",80
"4796","quedarnos",80
"4797","recibida",80
"4798","refuerzo",80
"4799","revictimizar",80
"4800","ética",80
"4801","ítem",80
"4802","acompañer",79
"4803","actuaban",79
"4804","alarcón",79
"4805","aviación",79
"4806","brinda",79
"4807","capitana",79
"4808","capturarlos",79
"4809","casique",79
"4810","considrir",79
"4811","contesta",79
"4812","convocatoria",79
"4813","defenderse",79
"4814","demostrado",79
"4815","direccionamiento",79
"4816","elipuerto",79
"4817","estrecho",79
"4818","fracaso",79
"4819","girar",79
"4820","interactuar",79
"4821","johar",79
"4822","legítir",79
"4823","liberar",79
"4824","mag",79
"4825","maldonado",79
"4826","mat",79
"4827","monrar",79
"4828","movar",79
"4829","moviéndo",79
"4830","nuo",79
"4831","ofrecido",79
"4832","paguér",79
"4833","pinson",79
"4834","planta",79
"4835","positiva",79
"4836","procuradoría",79
"4837","pueblito",79
"4838","rec",79
"4839","reflexionar",79
"4840","respaldar",79
"4841","retroalimentación",79
"4842","rubielar",79
"4843","sana",79
"4844","sembrar",79
"4845","signo",79
"4846","tono",79
"4847","ur",79
"4848","ventana",79
"4849","vulgarmente",79
"4850","abiertamente",78
"4851","alertar",78
"4852","almacén",78
"4853","arrimar",78
"4854","atar",78
"4855","brindado",78
"4856","bulto",78
"4857","calma",78
"4858","compuesta",78
"4859","conozcar",78
"4860","cón",78
"4861","darer",78
"4862","denominado",78
"4863","detalladamente",78
"4864","diplomado",78
"4865","doliente",78
"4866","dormido",78
"4867","déjemer",78
"4868","enmarcado",78
"4869","espinozar",78
"4870","estimular",78
"4871","expresado",78
"4872","extensa",78
"4873","fungía",78
"4874","haía",78
"4875","hotel",78
"4876","impresionante",78
"4877","intensidad",78
"4878","nudo",78
"4879","pod",78
"4880","presentarlo",78
"4881","restar",78
"4882","seguidamente",78
"4883","sogamoso",78
"4884","sold",78
"4885","subtenente",78
"4886","sucre",78
"4887","tía",78
"4888","aproximar",77
"4889","arcer",77
"4890","bernardo",77
"4891","brigadiera",77
"4892","consagrado",77
"4893","consider",77
"4894","consolidación",77
"4895","copiado",77
"4896","dignar",77
"4897","dis",77
"4898","emprender",77
"4899","entar",77
"4900","favorecer",77
"4901","hacerlos",77
"4902","hacernos",77
"4903","inés",77
"4904","libretar",77
"4905","licor",77
"4906","medianoche",77
"4907","paramilitarismo",77
"4908","poderlos",77
"4909","remisión",77
"4910","reportarle",77
"4911","rocal",77
"4912","vallejo",77
"4913","ala",76
"4914","aludir",76
"4915","ancho",76
"4916","arriesgar",76
"4917","auditorio",76
"4918","bananera",76
"4919","casanar",76
"4920","celebrar",76
"4921","cena",76
"4922","completa",76
"4923","comunico",76
"4924","concentrarme",76
"4925","contrader",76
"4926","cueva",76
"4927","diano",76
"4928","diseñado",76
"4929","eem",76
"4930","emisión",76
"4931","esar",76
"4932","exclusiva",76
"4933","faltante",76
"4934","fern",76
"4935","frenar",76
"4936","fusión",76
"4937","geográficar",76
"4938","ibaguér",76
"4939","indicara",76
"4940","lizarazo",76
"4941","loma",76
"4942","may",76
"4943","nacido",76
"4944","ocupación",76
"4945","ocupado",76
"4946","onato",76
"4947","pantano",76
"4948","pata",76
"4949","patiño",76
"4950","patrullero",76
"4951","pidiéndo",76
"4952","po",76
"4953","portado",76
"4954","promesa",76
"4955","párrafo",76
"4956","resarcir",76
"4957","retomarer",76
"4958","sepultura",76
"4959","seña",76
"4960","sor",76
"4961","timbrar",76
"4962","unguir",76
"4963","us",76
"4964","virgen",76
"4965","vuelvo",76
"4966","ab",75
"4967","absurdo",75
"4968","anoche",75
"4969","arm",75
"4970","barboso",75
"4971","calmado",75
"4972","canino",75
"4973","clar",75
"4974","dispensario",75
"4975","ejercicios",75
"4976","emergencia",75
"4977","escogir",75
"4978","explicarnos",75
"4979","factible",75
"4980","farar",75
"4981","formulación",75
"4982","fortuna",75
"4983","guerrill",75
"4984","haar",75
"4985","hágame",75
"4986","ideológico",75
"4987","inglés",75
"4988","invitado",75
"4989","lealtad",75
"4990","losado",75
"4991","marcela",75
"4992","piel",75
"4993","proporcionar",75
"4994","rindar",75
"4995","rodeado",75
"4996","sanidad",75
"4997","segund",75
"4998","supremo",75
"4999","surcolombiano",75
"5000","tragedia",75
